id,carat,cut,color,clarity,depth,table,price,x,y,z
7455,0.5,Very Good,G,VVS2,62.9,55.0,1904,5.05,5.09,3.19
7456,0.41,Ideal,G,IF,62.4,54.0,1367,4.74,4.78,2.97
7457,0.35,Ideal,E,VVS1,60.7,57.0,1044,4.53,4.57,2.76
7458,0.32,Premium,H,VS1,61.7,58.0,720,4.44,4.38,2.72
7459,0.54,Ideal,D,VS2,61.1,56.0,1672,5.23,5.27,3.21
7460,0.66,Good,G,VS1,59.6,60.2,2275,5.66,5.71,3.38
7461,0.31,Very Good,F,VS2,63.0,57.0,583,4.27,4.33,2.71
7462,0.33,Ideal,G,VVS1,60.9,56.7,806,4.47,4.49,2.73
7463,0.56,Ideal,D,SI1,62.5,56.0,1729,5.28,5.24,3.29
7464,1.25,Premium,I,SI1,59.7,59.0,5390,7.03,6.97,4.18
7465,0.43,Premium,F,VVS1,61.5,56.0,1422,4.9,4.86,3.0
7466,0.91,Ideal,F,SI2,60.9,57.0,3588,6.27,6.3,3.83
7467,0.34,Ideal,G,IF,62.2,53.0,974,4.49,4.52,2.8
7468,0.38,Ideal,D,VVS2,61.5,56.0,1257,4.66,4.64,2.86
7469,0.3,Very Good,D,VS2,62.9,55.0,610,4.31,4.34,2.72
7470,0.36,Ideal,I,VS1,60.5,57.0,568,4.56,4.59,2.77
7471,0.76,Very Good,D,SI2,59.1,63.0,2006,5.91,5.84,3.47
7472,0.5,Ideal,F,VS1,61.6,57.0,1695,5.07,5.09,3.13
7473,0.7,Premium,D,SI2,59.3,59.0,2562,5.79,5.74,3.42
7474,0.51,Premium,E,VS1,62.0,61.0,1758,5.14,5.11,3.18
7475,0.33,Very Good,H,VVS2,61.9,55.0,614,4.44,4.46,2.75
7476,0.33,Good,I,VS1,63.2,57.0,521,4.37,4.4,2.77
7477,0.55,Ideal,D,VS2,61.7,55.0,2133,5.27,5.29,3.26
7478,0.71,Premium,F,VS1,62.7,59.0,2839,5.7,5.62,3.55
7479,1.07,Ideal,H,SI1,60.9,57.0,5123,6.68,6.61,4.05
7480,0.25,Very Good,E,VVS1,62.9,59.0,576,3.99,4.02,2.52
7481,1.02,Very Good,H,SI1,61.9,61.0,4476,6.34,6.42,3.95
7482,1.22,Ideal,F,VS1,62.6,55.0,9756,6.86,6.82,4.28
7483,0.31,Ideal,E,VVS1,62.4,56.0,1028,4.37,4.35,2.72
7484,0.42,Ideal,F,SI1,60.9,55.0,992,4.88,4.84,2.96
7485,0.71,Very Good,D,VVS2,62.3,60.0,3799,5.65,5.71,3.54
7486,0.42,Premium,F,SI1,61.5,58.0,992,4.83,4.8,2.96
7487,1.22,Ideal,F,VS2,60.7,57.0,9568,6.89,6.94,4.2
7488,1.01,Premium,F,SI1,60.6,59.0,5345,6.52,6.49,3.94
7489,0.34,Good,F,SI2,63.9,56.0,417,4.4,4.43,2.82
7490,0.72,Ideal,H,VS1,62.3,55.0,2949,5.72,5.74,3.57
7491,0.74,Good,J,VS2,60.6,62.6,1912,5.79,5.85,3.53
7492,0.31,Ideal,F,VS2,62.2,56.0,583,4.36,4.39,2.72
7493,1.28,Ideal,E,IF,60.7,57.0,18700,7.09,6.99,4.27
7494,0.34,Very Good,F,SI1,63.0,54.0,566,4.48,4.5,2.83
7495,0.43,Premium,E,SI2,61.0,60.0,903,4.94,4.87,2.99
7496,1.01,Fair,F,VS2,65.1,59.0,5784,6.17,6.21,4.03
7497,1.87,Ideal,H,VS1,59.7,60.0,17761,7.98,8.04,4.78
7498,1.0,Very Good,D,SI1,62.1,58.0,5390,6.34,6.45,3.97
7499,0.71,Very Good,G,SI1,58.2,57.0,2039,5.89,5.93,3.44
7500,0.54,Ideal,G,VVS2,61.9,57.0,1981,5.22,5.25,3.24
7501,1.09,Ideal,H,SI1,62.3,55.0,5219,6.61,6.58,4.11
7502,0.46,Premium,I,SI2,60.3,62.0,880,4.95,4.9,2.97
7503,0.61,Good,G,VS2,59.9,61.0,1668,5.48,5.6,3.32
7504,0.37,Ideal,I,SI1,60.7,60.0,532,4.6,4.62,2.8
7505,0.82,Good,J,SI1,57.5,62.0,2033,6.2,6.25,3.58
7506,0.71,Ideal,G,VVS1,62.8,56.0,3254,5.71,5.76,3.6
7507,0.51,Premium,E,SI1,62.3,58.0,1546,5.12,5.05,3.17
7508,0.31,Ideal,H,SI1,62.1,54.0,464,4.37,4.39,2.72
7509,0.23,Very Good,E,VVS1,61.8,59.0,472,3.89,3.91,2.41
7510,0.54,Very Good,J,VS2,63.0,57.0,1129,5.17,5.21,3.27
7511,1.03,Premium,H,SI1,60.0,60.0,4603,6.41,6.4,4.02
7512,0.56,Premium,D,SI1,61.9,58.0,1814,5.33,5.27,3.28
7513,0.63,Ideal,E,VVS1,62.4,56.0,3161,5.48,5.52,3.43
7514,1.57,Ideal,G,SI1,61.8,55.0,11596,7.43,7.49,4.61
7515,0.36,Ideal,F,IF,62.2,55.0,1215,4.62,4.57,2.86
7516,0.41,Premium,D,SI1,59.6,59.0,1015,4.85,4.82,2.88
7517,0.9,Premium,E,SI1,62.3,61.0,3800,6.17,6.12,3.83
7518,0.71,Premium,H,SI1,62.5,60.0,2207,5.75,5.68,3.57
7519,0.37,Ideal,E,VVS2,61.6,55.0,1162,4.62,4.63,2.85
7520,1.55,Very Good,H,SI1,63.2,57.0,7066,7.35,7.31,4.64
7521,0.32,Premium,G,VS2,61.5,60.0,561,4.36,4.39,2.69
7522,1.51,Good,E,SI1,62.8,59.0,11487,7.16,7.2,4.51
7523,1.24,Ideal,H,SI2,62.0,56.0,5797,6.87,6.9,4.27
7524,0.9,Good,F,VS2,63.6,59.0,4309,6.06,6.11,3.87
7525,0.54,Ideal,F,VVS2,61.6,56.0,2231,5.23,5.26,3.23
7526,0.51,Ideal,G,VS1,61.0,55.0,1781,5.21,5.11,3.15
7527,0.31,Premium,H,VVS1,63.0,58.0,907,4.37,4.33,2.74
7528,0.25,Very Good,D,VVS1,63.8,54.0,533,3.94,3.99,2.53
7529,0.78,Very Good,E,VS1,60.9,57.0,3420,5.94,5.88,3.59
7530,0.9,Very Good,E,SI2,61.6,59.0,3924,6.18,6.26,3.83
7531,0.71,Ideal,G,VS1,62.6,57.0,2930,5.67,5.7,3.56
7532,1.01,Ideal,G,VS2,62.1,59.0,7814,6.39,6.43,3.98
7533,0.9,Premium,D,SI1,62.7,58.0,4304,6.15,6.09,3.84
7534,1.0,Premium,D,SI1,61.3,61.0,5880,6.52,6.39,3.96
7535,0.57,Ideal,E,SI1,61.9,56.0,1608,5.32,5.35,3.3
7536,2.07,Premium,J,VS2,61.5,59.0,13675,8.16,8.2,5.03
7537,0.62,Very Good,G,VS1,60.1,58.0,2161,5.52,5.54,3.32
7538,0.81,Premium,E,SI2,59.9,61.0,2559,6.08,6.05,3.63
7539,0.49,Very Good,E,SI1,63.6,57.9,1400,4.96,4.99,3.16
7540,0.93,Premium,F,SI1,62.3,58.0,4297,6.22,6.18,3.86
7541,0.35,Ideal,H,VVS1,61.6,55.0,773,4.55,4.57,2.81
7542,0.4,Ideal,I,VS2,62.6,54.0,667,4.74,4.75,2.97
7543,0.33,Ideal,E,VVS2,61.0,54.0,741,4.49,4.52,2.75
7544,1.6,Premium,G,VVS1,61.5,58.0,17204,7.48,7.58,4.63
7545,0.54,Ideal,D,VVS2,61.6,54.0,2583,5.25,5.27,3.24
7546,1.03,Ideal,D,VS1,62.6,57.0,8645,6.44,6.5,4.05
7547,0.3,Ideal,E,VS2,62.0,56.0,844,4.34,4.31,2.68
7548,0.32,Premium,E,VS2,61.7,58.0,702,4.38,4.41,2.71
7549,0.51,Ideal,H,VVS2,61.0,57.0,1574,5.22,5.18,3.17
7550,0.41,Very Good,G,VS1,60.7,58.0,899,4.79,4.83,2.92
7551,1.01,Good,D,SI2,65.1,57.0,4468,6.27,6.32,4.1
7552,0.71,Ideal,D,SI1,62.4,57.0,2812,5.69,5.72,3.56
7553,1.01,Premium,G,VS1,59.8,59.0,6412,6.5,6.55,3.9
7554,0.3,Good,D,SI1,63.1,56.0,515,4.24,4.28,2.69
7555,1.02,Good,H,SI2,57.9,61.0,3770,6.75,6.68,3.89
7556,0.31,Ideal,D,VS2,61.8,57.0,942,4.38,4.36,2.7
7557,1.5,Premium,J,SI1,62.1,57.0,5536,7.42,7.26,4.56
7558,1.02,Premium,G,I1,60.3,58.0,2815,6.55,6.5,3.94
7559,0.3,Premium,G,SI2,62.3,59.0,394,4.25,4.29,2.66
7560,0.8,Good,F,VS2,60.5,62.3,3283,5.97,6.01,3.62
7561,1.01,Premium,G,VS2,62.6,56.0,5713,6.41,6.34,3.99
7562,0.4,Ideal,E,VS2,62.9,55.0,975,4.73,4.72,2.97
7563,0.7,Very Good,F,SI1,58.4,63.0,2058,5.77,5.84,3.39
7564,1.01,Premium,I,SI1,62.9,58.0,4242,6.37,6.34,4.0
7565,0.33,Good,I,VVS2,63.7,56.0,743,4.4,4.36,2.79
7566,1.25,Ideal,E,VS2,62.6,56.0,8400,6.89,6.84,4.3
7567,0.7,Good,E,SI1,61.6,61.0,2111,5.64,5.66,3.48
7568,0.23,Ideal,F,VS1,61.1,56.0,548,3.97,3.99,2.43
7569,0.51,Ideal,H,VS1,62.7,54.0,1438,5.12,5.15,3.22
7570,1.1,Ideal,G,VS1,61.3,54.0,6535,6.69,6.65,4.09
7571,1.01,Ideal,H,SI1,61.9,58.0,4767,6.42,6.48,3.99
7572,0.54,Good,D,SI2,63.2,57.0,1249,5.16,5.19,3.27
7573,0.64,Premium,D,SI2,62.8,54.0,1751,5.52,5.5,3.46
7574,0.52,Ideal,F,VS1,62.3,55.0,1872,5.21,5.16,3.23
7575,0.31,Ideal,H,VVS2,62.4,56.0,625,4.34,4.38,2.72
7576,0.27,Very Good,E,VS2,59.5,56.0,470,4.2,4.31,2.53
7577,1.06,Ideal,G,SI2,62.3,55.0,3936,6.54,6.49,4.06
7578,0.71,Ideal,H,SI2,59.4,57.0,2258,5.87,5.81,3.47
7579,0.91,Very Good,D,SI2,63.4,59.0,3911,6.12,6.15,3.89
7580,1.08,Ideal,F,VS1,62.1,53.0,8321,6.6,6.64,4.11
7581,0.35,Very Good,F,IF,62.0,54.0,1027,4.55,4.58,2.83
7582,0.41,Very Good,E,VVS2,63.8,58.0,1019,4.67,4.7,2.99
7583,1.51,Premium,G,VVS1,62.2,58.0,15420,7.33,7.3,4.55
7584,0.52,Ideal,E,VS1,61.8,56.0,2275,5.17,5.19,3.2
7585,0.91,Very Good,D,SI1,62.8,59.0,4556,6.17,6.21,3.89
7586,0.3,Very Good,D,SI1,63.3,55.0,709,4.31,4.28,2.72
7587,1.21,Premium,F,VS2,61.6,58.0,8660,6.88,6.79,4.21
7588,2.0,Premium,I,VS2,59.5,62.0,15651,8.21,8.13,4.86
7589,0.7,Ideal,G,SI1,61.9,56.0,2414,5.66,5.71,3.52
7590,1.22,Ideal,H,VS2,60.4,57.0,7506,6.95,6.98,4.21
7591,0.42,Good,F,SI1,63.4,56.0,722,4.76,4.8,3.03
7592,0.71,Good,E,SI2,62.2,56.0,2390,5.63,5.66,3.51
7593,1.01,Premium,F,SI2,62.2,59.0,4416,6.41,6.45,4.0
7594,0.44,Ideal,D,SI1,62.4,57.0,883,4.86,4.89,3.04
7595,0.5,Very Good,I,VVS1,62.8,61.0,1448,4.98,5.05,3.15
7596,1.71,Good,I,VS2,58.0,60.0,11250,7.85,7.9,4.57
7597,0.9,Good,G,VS1,63.7,56.0,4460,6.15,6.07,3.89
7598,1.22,Premium,I,VS1,60.6,61.0,6354,6.94,6.88,4.19
7599,1.0,Good,F,SI2,60.2,65.0,4386,6.38,6.41,3.85
7600,0.42,Ideal,E,VVS2,61.3,56.0,1216,4.81,4.85,2.96
7601,0.32,Ideal,D,VS1,61.2,55.0,977,4.41,4.45,2.71
7602,0.31,Good,H,VS2,63.5,57.0,489,4.32,4.34,2.75
7603,1.52,Ideal,F,VS2,62.5,55.0,14915,7.42,7.31,4.6
7604,0.31,Good,G,VVS2,63.4,59.0,707,4.26,4.29,2.71
7605,0.9,Premium,H,VS2,61.3,59.0,4082,6.24,6.19,3.81
7606,0.4,Ideal,H,VVS2,62.2,56.0,1125,4.75,4.7,2.94
7607,0.51,Premium,F,VS1,60.9,57.0,1836,5.27,5.17,3.18
7608,0.7,Ideal,I,VVS2,62.5,54.0,2276,5.69,5.74,3.57
7609,0.38,Premium,E,VVS1,61.9,58.0,1267,4.62,4.66,2.87
7610,0.33,Ideal,G,VVS2,61.5,56.0,965,4.49,4.45,2.75
7611,3.01,Fair,H,I1,56.1,62.0,10761,9.54,9.38,5.31
7612,0.43,Ideal,F,IF,60.9,57.0,1580,4.89,4.86,2.97
7613,2.04,Premium,I,VS2,61.0,61.0,16768,8.14,8.08,4.95
7614,0.38,Premium,I,VS2,61.8,59.0,812,4.64,4.61,2.86
7615,0.51,Ideal,G,VS1,61.7,56.0,1656,5.1,5.14,3.16
7616,1.2,Premium,H,SI2,62.5,58.0,5280,6.76,6.81,4.24
7617,1.16,Very Good,I,SI1,62.9,58.0,4586,6.64,6.69,4.19
7618,2.0,Fair,J,VS2,65.4,58.0,11966,7.96,7.75,5.14
7619,0.43,Premium,F,SI1,62.9,60.0,1016,4.8,4.77,3.01
7620,0.82,Ideal,G,SI2,61.0,55.0,2165,6.04,5.99,3.67
7621,0.3,Premium,F,SI2,61.3,58.0,506,4.33,4.28,2.64
7622,1.54,Ideal,G,SI2,61.7,56.0,9530,7.44,7.41,4.58
7623,0.32,Ideal,G,SI1,61.3,57.0,461,4.42,4.45,2.72
7624,0.52,Ideal,F,VVS1,62.0,54.0,2388,5.16,5.19,3.2
7625,1.01,Good,E,SI1,64.1,62.0,4480,6.26,6.19,3.99
7626,0.3,Ideal,G,SI2,61.8,57.0,422,4.31,4.33,2.67
7627,1.0,Premium,F,SI2,62.4,61.0,4155,6.34,6.32,3.95
7628,0.29,Very Good,H,VVS2,61.2,56.0,541,4.26,4.29,2.61
7629,1.54,Very Good,G,SI2,61.5,61.0,8808,7.35,7.42,4.54
7630,0.56,Very Good,G,VVS2,61.6,56.0,2010,5.29,5.31,3.27
7631,0.92,Premium,J,SI1,62.9,58.0,2858,6.22,6.18,3.9
7632,1.14,Good,G,SI2,63.7,58.0,4501,6.62,6.54,4.19
7633,0.53,Very Good,E,VS2,61.4,55.0,1607,5.21,5.24,3.21
7634,0.83,Ideal,G,SI1,61.8,57.0,2800,6.03,6.07,3.74
7635,1.53,Good,E,SI2,57.1,56.0,7643,7.69,7.65,4.38
7636,0.54,Premium,D,SI1,60.4,60.0,1662,5.22,5.24,3.16
7637,1.5,Good,I,VS1,57.2,62.0,9702,7.64,7.61,4.36
7638,0.31,Good,I,SI1,63.5,56.0,408,4.28,4.32,2.73
7639,1.04,Premium,H,SI1,60.7,58.0,5179,6.55,6.53,3.97
7640,0.44,Ideal,D,VS2,60.4,56.0,1081,4.91,4.95,2.98
7641,0.3,Very Good,J,VS1,59.5,60.0,427,4.39,4.45,2.63
7642,0.4,Ideal,F,VVS1,61.8,58.0,1168,4.72,4.76,2.93
7643,2.01,Ideal,G,SI1,62.2,56.0,18741,8.02,7.97,4.97
7644,0.23,Very Good,F,VS1,61.9,58.0,402,3.9,4.02,2.45
7645,1.7,Very Good,H,VS1,62.8,57.0,14137,7.47,7.57,4.72
7646,0.31,Ideal,I,VS1,61.9,54.0,489,4.34,4.38,2.7
7647,0.7,Very Good,F,SI1,63.7,55.0,2192,5.62,5.69,3.6
7648,0.61,Premium,D,VS1,62.4,57.0,2207,5.46,5.44,3.4
7649,0.32,Ideal,F,VVS1,61.7,56.0,926,4.4,4.42,2.72
7650,1.32,Premium,J,VS2,60.4,58.0,5800,7.11,7.14,4.3
7651,0.9,Premium,E,SI1,61.6,57.0,4385,6.25,6.19,3.83
7652,1.71,Premium,H,VS1,62.1,59.0,10457,7.63,7.55,4.71
7653,1.51,Good,J,VS1,61.5,59.0,8271,7.26,7.31,4.48
7654,0.3,Ideal,I,SI1,61.5,57.0,422,4.3,4.35,2.66
7655,1.65,Ideal,D,SI2,61.5,56.0,10847,7.63,7.69,4.71
7656,0.36,Ideal,G,VVS1,60.9,57.0,1080,4.63,4.57,2.8
7657,0.3,Good,J,VS1,63.4,57.0,394,4.23,4.26,2.69
7658,0.91,Premium,E,VS1,61.9,59.0,5167,6.23,6.17,3.84
7659,0.54,Very Good,F,VS2,62.0,59.0,1889,5.16,5.22,3.22
7660,0.39,Premium,E,VS2,62.5,60.0,951,4.67,4.64,2.91
7661,0.5,Good,G,SI2,62.3,64.0,1121,5.1,5.02,3.15
7662,1.07,Premium,F,SI2,60.3,58.0,4700,6.68,6.62,4.01
7663,0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55
7664,0.51,Very Good,I,VS2,60.3,63.0,1068,5.16,5.13,3.1
7665,1.01,Premium,E,VVS2,61.8,59.0,9711,6.42,6.39,3.96
7666,0.37,Very Good,H,VS2,61.2,54.0,537,4.62,4.7,2.85
7667,0.56,Premium,I,VVS1,60.6,59.0,1622,5.29,5.33,3.22
7668,0.58,Ideal,H,SI1,61.6,57.0,1184,5.34,5.38,3.3
7669,0.55,Ideal,D,VS1,61.5,56.0,2020,5.28,5.26,3.24
7670,0.42,Ideal,D,VVS1,62.8,56.0,1621,4.8,4.76,3.0
7671,0.71,Very Good,G,VS2,62.9,57.0,2598,5.69,5.72,3.59
7672,0.41,Premium,E,VVS1,60.7,58.0,1431,4.86,4.8,2.93
7673,0.38,Ideal,E,VS1,62.7,55.0,1069,4.65,4.6,2.9
7674,1.01,Very Good,G,SI1,62.9,58.0,5497,6.35,6.4,4.01
7675,1.51,Very Good,I,VVS1,63.0,59.0,11088,7.24,7.3,4.58
7676,0.7,Very Good,F,VVS2,61.3,59.0,3974,5.69,5.73,3.5
7677,1.01,Ideal,G,SI1,61.2,57.0,5387,6.44,6.5,3.96
7678,0.64,Very Good,G,SI1,64.0,53.8,1665,5.49,5.53,3.53
7679,0.93,Very Good,G,VS1,62.1,59.0,4879,6.16,6.21,3.84
7680,1.03,Very Good,G,VS2,62.9,56.0,6164,6.43,6.45,4.05
7681,1.01,Good,H,I1,63.2,58.0,3110,6.33,6.39,4.02
7682,2.42,Premium,I,VS1,59.8,59.0,17262,8.8,8.78,5.26
7683,0.28,Premium,F,VS2,59.6,61.0,567,4.28,4.25,2.54
7684,0.26,Ideal,F,VS2,62.3,56.0,456,4.1,4.12,2.56
7685,0.34,Ideal,F,VS2,62.1,56.0,880,4.51,4.47,2.79
7686,1.01,Fair,D,SI1,64.6,60.0,4751,6.12,6.08,3.94
7687,1.0,Ideal,F,SI1,60.0,57.0,4939,6.45,6.41,3.86
7688,2.02,Fair,J,SI2,64.6,55.0,9853,7.93,7.84,5.09
7689,0.33,Ideal,D,SI2,61.1,57.0,492,4.47,4.5,2.74
7690,1.5,Good,H,VS2,63.6,58.0,10478,7.27,7.22,4.61
7691,0.7,Very Good,F,SI1,60.3,59.0,2312,5.73,5.78,3.47
7692,0.53,Very Good,G,SI2,60.8,58.0,1070,5.19,5.21,3.16
7693,0.33,Ideal,G,VS1,61.6,57.0,699,4.46,4.49,2.75
7694,1.01,Good,F,VS2,63.9,58.0,6446,6.39,6.32,4.06
7695,0.35,Premium,D,SI2,60.8,58.0,522,4.51,4.57,2.76
7696,0.4,Ideal,D,VVS2,61.3,56.0,1323,4.78,4.75,2.92
7697,0.72,Ideal,J,VS1,62.7,57.0,2006,5.71,5.74,3.59
7698,0.32,Good,I,VS1,63.2,54.0,505,4.38,4.42,2.78
7699,0.51,Ideal,D,VS2,62.2,58.0,1678,5.1,5.12,3.18
7700,0.42,Premium,H,SI1,60.5,58.0,1008,4.85,4.83,2.93
7701,0.31,Premium,D,VS2,62.6,59.0,942,4.33,4.3,2.7
7702,0.67,Good,E,VS2,61.6,61.0,2270,5.57,5.6,3.44
7703,1.75,Ideal,J,VS2,62.1,56.0,9890,7.74,7.69,4.79
7704,0.35,Ideal,H,VVS2,63.0,55.0,906,4.5,4.48,2.83
7705,0.6,Good,F,VS2,58.8,60.7,1940,5.52,5.55,3.25
7706,0.78,Premium,H,SI1,60.0,60.0,2489,5.93,5.92,3.62
7707,1.53,Premium,I,VS2,62.0,58.0,10013,7.36,7.41,4.58
7708,0.27,Very Good,G,VVS1,62.9,55.0,566,4.12,4.15,2.6
7709,1.25,Ideal,I,SI1,61.0,56.0,6352,6.97,7.02,4.27
7710,0.51,Very Good,G,VS2,62.5,59.0,1438,5.05,5.1,3.17
7711,0.51,Ideal,D,VS2,61.2,55.0,1882,5.18,5.16,3.16
7712,0.39,Ideal,F,VS1,62.5,57.0,895,4.66,4.69,2.92
7713,0.73,Fair,G,VS2,60.1,65.0,2401,5.91,5.81,3.52
7714,0.74,Very Good,J,VS2,62.3,55.0,1978,5.79,5.83,3.62
7715,0.9,Very Good,H,VS2,63.6,58.0,4258,6.1,6.14,3.89
7716,1.39,Premium,I,SI2,61.9,59.0,4826,7.15,7.11,4.41
7717,0.4,Fair,G,SI1,59.9,67.0,960,4.81,4.77,2.87
7718,0.33,Good,H,SI2,63.5,57.0,416,4.36,4.39,2.78
7719,0.5,Very Good,E,VS2,63.4,58.0,1629,5.06,5.04,3.2
7720,0.3,Ideal,F,VS1,62.3,54.0,615,4.31,4.33,2.69
7721,0.32,Very Good,H,SI1,61.8,56.0,461,4.4,4.43,2.73
7722,0.75,Ideal,D,SI1,62.3,55.0,2898,5.83,5.8,3.62
7723,0.55,Ideal,D,VS2,61.8,54.0,1928,5.26,5.29,3.26
7724,0.33,Ideal,D,SI1,61.9,55.0,736,4.45,4.47,2.76
7725,1.0,Ideal,H,VS2,62.5,58.0,4704,6.38,6.33,3.97
7726,0.71,Ideal,D,SI2,60.2,57.0,2262,5.77,5.83,3.49
7727,0.53,Ideal,G,VVS2,61.7,54.5,1993,5.2,5.26,3.23
7728,0.33,Ideal,G,VVS1,62.0,56.0,1114,4.48,4.45,2.77
7729,0.42,Ideal,D,VVS2,61.7,57.0,1210,4.82,4.8,2.97
7730,0.76,Premium,F,SI1,60.3,58.0,2607,5.91,5.96,3.58
7731,0.9,Good,G,VS2,63.7,60.0,4309,6.02,5.98,3.82
7732,1.03,Good,H,SI1,59.3,56.0,4705,6.57,6.66,3.92
7733,0.5,Ideal,G,VS1,62.3,55.0,1624,5.07,5.11,3.17
7734,0.7,Ideal,F,VS2,62.3,53.0,2907,5.69,5.73,3.56
7735,0.73,Ideal,E,SI1,61.6,57.0,2707,5.81,5.78,3.57
7736,0.4,Ideal,G,VS1,62.2,56.0,877,4.72,4.74,2.94
7737,1.22,Ideal,F,VS2,61.3,56.0,9203,6.87,6.92,4.23
7738,0.3,Ideal,H,IF,61.2,55.0,764,4.36,4.37,2.67
7739,0.32,Premium,I,IF,60.3,58.0,864,4.45,4.41,2.67
7740,1.02,Premium,E,VVS1,62.2,57.0,10867,6.59,6.4,4.04
7741,0.3,Ideal,E,VVS1,62.4,55.0,826,4.32,4.34,2.7
7742,0.32,Ideal,E,VVS2,62.0,54.0,790,4.41,4.43,2.74
7743,0.6,Very Good,D,VS2,63.7,56.0,2010,5.34,5.36,3.41
7744,0.3,Ideal,G,VVS1,62.7,54.0,764,4.3,4.34,2.71
7745,1.34,Very Good,J,SI2,62.3,61.0,5787,6.97,7.05,4.37
7746,0.52,Ideal,E,SI1,61.1,57.0,1656,5.2,5.17,3.16
7747,0.4,Premium,D,VVS2,60.8,59.0,1323,4.81,4.76,2.91
7748,0.53,Ideal,F,VS1,62.2,55.0,1908,5.22,5.17,3.23
7749,1.52,Premium,D,SI1,59.8,58.0,12707,7.51,7.55,4.5
7750,1.21,Ideal,H,SI1,60.7,57.0,7810,6.85,6.89,4.17
7751,1.11,Very Good,H,VS2,62.4,58.0,5450,6.57,6.69,4.14
7752,0.33,Very Good,G,VVS1,61.4,60.0,868,4.39,4.44,2.71
7753,0.54,Premium,D,VS1,60.5,58.0,1847,5.27,5.21,3.17
7754,2.01,Ideal,H,SI1,61.9,60.0,17892,8.09,8.07,5.0
7755,0.47,Very Good,J,SI1,62.4,58.0,764,4.94,4.99,3.1
7756,1.0,Very Good,H,SI2,63.0,61.0,4015,6.31,6.35,3.99
7757,0.23,Good,E,VVS1,56.3,62.0,498,4.1,4.11,2.31
7758,0.7,Ideal,G,VS1,61.9,55.0,3384,5.67,5.71,3.52
7759,0.43,Premium,E,SI1,60.2,60.0,792,4.89,4.94,2.96
7760,1.25,Premium,J,VS1,62.0,58.0,5500,6.89,6.92,4.28
7761,0.57,Ideal,F,SI1,61.4,57.0,1571,5.35,5.3,3.27
7762,0.56,Ideal,D,VS2,61.1,56.0,2066,5.33,5.3,3.25
7763,1.02,Ideal,G,VS2,62.5,55.0,6418,6.43,6.49,4.04
7764,1.51,Fair,H,VS2,64.9,53.0,7534,7.28,7.24,4.71
7765,0.44,Premium,F,VS1,61.9,59.0,1081,4.84,4.88,3.01
7766,0.35,Very Good,D,VS1,59.9,56.0,846,4.61,4.64,2.77
7767,0.41,Good,E,SI2,63.3,56.0,638,4.69,4.73,2.98
7768,1.52,Premium,E,SI2,61.0,59.0,10214,7.39,7.33,4.49
7769,0.41,Ideal,E,SI1,62.4,55.0,969,4.78,4.74,2.97
7770,0.56,Ideal,D,VS2,62.7,57.0,1846,5.28,5.25,3.3
7771,0.36,Very Good,G,VS1,60.7,57.1,821,4.57,4.65,2.79
7772,1.2,Premium,E,I1,62.3,60.0,3871,6.78,6.71,4.2
7773,0.7,Very Good,F,VVS1,59.3,62.0,3270,5.74,5.77,3.41
7774,0.28,Very Good,G,VS2,61.3,57.0,492,4.21,4.24,2.59
7775,1.0,Premium,H,VS2,59.3,61.0,5208,6.47,6.45,3.83
7776,1.0,Premium,G,VS1,62.3,58.0,6290,6.39,6.3,3.95
7777,1.13,Premium,E,SI2,61.4,59.0,4936,6.78,6.7,4.14
7778,0.59,Ideal,E,SI1,61.4,56.0,1789,5.39,5.36,3.3
7779,1.01,Premium,F,SI1,62.2,58.0,4775,6.35,6.28,3.93
7780,0.27,Ideal,E,VS1,61.6,56.0,470,4.14,4.17,2.56
7781,0.38,Premium,J,VVS2,60.5,59.0,778,4.72,4.69,2.84
7782,0.5,Very Good,D,VS2,63.3,54.0,1758,5.07,5.04,3.2
7783,0.3,Ideal,G,VS1,62.0,56.0,624,4.29,4.32,2.67
7784,1.02,Very Good,F,SI2,63.0,58.0,4162,6.38,6.44,4.04
7785,0.7,Very Good,G,VS1,61.6,57.0,3127,5.69,5.73,3.52
7786,1.01,Very Good,H,SI2,61.5,62.0,4262,6.35,6.44,3.93
7787,0.43,Premium,I,IF,61.2,58.0,1129,4.88,4.83,2.97
7788,0.9,Very Good,F,SI1,63.4,62.0,3992,6.05,6.0,3.82
7789,1.7,Ideal,J,VS2,60.5,58.0,10002,7.73,7.74,4.68
7790,0.41,Ideal,F,VVS1,61.8,54.0,1213,4.78,4.83,2.97
7791,0.53,Ideal,H,SI1,61.9,56.0,1255,5.17,5.23,3.22
7792,1.51,Premium,D,VS1,62.9,54.0,17515,7.29,7.22,4.56
7793,0.3,Very Good,D,SI1,58.8,63.0,614,4.35,4.32,2.55
7794,0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54
7795,0.72,Premium,G,SI2,62.8,61.0,2022,5.68,5.59,3.54
7796,0.3,Very Good,G,VS1,62.3,59.0,605,4.27,4.3,2.67
7797,0.34,Premium,H,VS2,62.4,60.0,689,4.44,4.41,2.76
7798,1.01,Premium,H,SI2,61.1,60.0,3054,6.46,6.41,3.93
7799,0.35,Ideal,F,VS1,62.4,57.0,1011,4.52,4.49,2.81
7800,0.51,Ideal,G,VS1,61.9,56.0,1781,5.14,5.1,3.17
